2025-09-05 19:16:37.217 | INFO     | __main__:main:208 - Eevee uses Shadow Ball that does 12 damage to Pikachu. Pikachu has 47 HP left!
2025-09-05 19:16:38.219 | INFO     | __main__:main:208 - Eevee uses Thunderbolt that does 10 damage to Pikachu. Pikachu has 37 HP left!
2025-09-05 19:16:39.221 | INFO     | __main__:main:208 - Eevee uses Water Gun that does 16 damage to Pikachu. Pikachu has 21 HP left!
2025-09-05 19:16:40.223 | INFO     | __main__:main:208 - Eevee uses Quick Attack that does 10 damage to Pikachu. Pikachu has 11 HP left!
2025-09-05 19:16:41.226 | INFO     | __main__:main:208 - Eevee uses Flamethrower that does 21 damage to Pikachu. Pikachu has 0 HP left!
2025-09-05 19:16:42.228 | INFO     | __main__:main:230 - Eevee knocks out Pikachu and wins the battle (2ac318f4)!
2025-09-05 19:16:42.229 | INFO     | __main__:main:208 - Gengar uses Mimic that does 0 damage to Eevee. Eevee has 115 HP left!
2025-09-05 19:16:43.231 | INFO     | __main__:main:208 - Gengar uses Body Slam that does 29 damage to Eevee. Eevee has 86 HP left!
2025-09-05 19:16:44.232 | INFO     | __main__:main:208 - Gengar uses Shadow Ball that does 14 damage to Eevee. Eevee has 72 HP left!
2025-09-05 19:16:45.235 | INFO     | __main__:main:208 - Gengar uses Thunderbolt that does 12 damage to Eevee. Eevee has 60 HP left!
2025-09-05 19:16:46.237 | INFO     | __main__:main:208 - Gengar uses Psychic that does 16 damage to Eevee. Eevee has 44 HP left!
2025-09-05 19:16:47.239 | INFO     | __main__:main:208 - Gengar uses Psychic that does 16 damage to Eevee. Eevee has 28 HP left!
2025-09-05 19:16:47.239 | INFO     | __main__:main:275 - [METRICS last 60s][Most Damage Received] Eevee with 353
2025-09-05 19:16:48.242 | INFO     | __main__:main:208 - Gengar uses Shadow Ball that does 14 damage to Eevee. Eevee has 14 HP left!
2025-09-05 19:16:49.243 | INFO     | __main__:main:208 - Gengar uses Psychic that does 16 damage to Eevee. Eevee has 0 HP left!
2025-09-05 19:16:50.246 | INFO     | __main__:main:230 - Gengar knocks out Eevee and wins the battle (1c87943e)!
2025-09-05 19:16:50.247 | INFO     | __main__:main:208 - Bulbasaur uses Shadow Ball that does 13 damage to Squirtle. Squirtle has 91 HP left!
2025-09-05 19:16:51.249 | INFO     | __main__:main:208 - Bulbasaur uses Mimic that does 0 damage to Squirtle. Squirtle has 91 HP left!
2025-09-05 19:16:52.252 | INFO     | __main__:main:208 - Bulbasaur uses Psychic that does 15 damage to Squirtle. Squirtle has 76 HP left!
2025-09-05 19:16:53.253 | INFO     | __main__:main:208 - Bulbasaur uses Body Slam that does 26 damage to Squirtle. Squirtle has 50 HP left!
2025-09-05 19:16:54.256 | INFO     | __main__:main:208 - Bulbasaur uses Mimic that does 0 damage to Squirtle. Squirtle has 50 HP left!
2025-09-05 19:16:55.258 | INFO     | __main__:main:208 - Bulbasaur uses Psychic that does 15 damage to Squirtle. Squirtle has 35 HP left!
2025-09-05 19:16:56.261 | INFO     | __main__:main:208 - Bulbasaur uses Mimic that does 0 damage to Squirtle. Squirtle has 35 HP left!
2025-09-05 19:16:57.263 | INFO     | __main__:main:208 - Bulbasaur uses Shadow Ball that does 13 damage to Squirtle. Squirtle has 22 HP left!
2025-09-05 19:16:58.265 | INFO     | __main__:main:208 - Bulbasaur uses Mimic that does 0 damage to Squirtle. Squirtle has 22 HP left!
2025-09-05 19:16:59.267 | INFO     | __main__:main:208 - Bulbasaur uses Psychic that does 15 damage to Squirtle. Squirtle has 7 HP left!
2025-09-05 19:17:00.270 | INFO     | __main__:main:208 - Bulbasaur uses Vine Whip that does 17 damage to Squirtle. Squirtle has 0 HP left!
2025-09-05 19:17:01.272 | INFO     | __main__:main:230 - Bulbasaur knocks out Squirtle and wins the battle (3b1d3c26)!
2025-09-05 19:17:01.273 | INFO     | __main__:main:208 - Squirtle uses Water Gun that does 30 damage to Jigglypuff. Jigglypuff has 148 HP left!
2025-09-05 19:17:02.275 | INFO     | __main__:main:208 - Squirtle uses Water Gun that does 30 damage to Jigglypuff. Jigglypuff has 118 HP left!
2025-09-05 19:17:02.275 | INFO     | __main__:main:281 - [METRICS last 60s][Avg Damage] 18.27 | [Legality] 100.0% legal
2025-09-05 19:17:03.278 | INFO     | __main__:main:208 - Squirtle uses Psychic that does 25 damage to Jigglypuff. Jigglypuff has 93 HP left!
2025-09-05 19:17:04.280 | INFO     | __main__:main:208 - Squirtle uses Mimic that does 0 damage to Jigglypuff. Jigglypuff has 93 HP left!
2025-09-05 19:17:05.282 | INFO     | __main__:main:208 - Squirtle uses Mimic that does 0 damage to Jigglypuff. Jigglypuff has 93 HP left!
2025-09-05 19:17:06.285 | INFO     | __main__:main:208 - Squirtle uses Shadow Ball that does 22 damage to Jigglypuff. Jigglypuff has 71 HP left!
2025-09-05 19:17:07.288 | INFO     | __main__:main:208 - Squirtle uses Body Slam that does 45 damage to Jigglypuff. Jigglypuff has 26 HP left!
